page_number,url,http_status_code,page_title,html_filename,txt_filename,html_size_bytes,word_count,timestamp,status
30,https://news.fnal.gov/2026/05/anna-grassellino-appointed-to-doe-office-of-science-advisory-committee/,200,Anna Grassellino appointed to DOE Office of Science Advisory Committee,0030_news.fnal.gov_2026_05_anna-grassellino-appointed-to-doe.html,0030_news.fnal.gov_2026_05_anna-grassellino-appointed-to-doe.txt,87436,990,2026-06-10 13:26:03,SUCCESS
31,https://news.fnal.gov/newsroom/subscribe-to-fermilab-frontiers,200,Subscribe to Fermilab Frontiers,0031_news.fnal.gov_newsroom_subscribe-to-fermilab-frontiers.html,0031_news.fnal.gov_newsroom_subscribe-to-fermilab-frontiers.txt,72660,337,2026-06-10 13:26:05,SUCCESS
32,https://www.fnal.gov/pub/resources/index.html,403,,,,0,0,2026-06-10 13:26:07,FAILED
33,https://news.fnal.gov/2026/05/using-ai-fermilab-researcher-probes-how-transistors-behave-in-extreme-cold/,200,"Using AI, Fermilab researcher probes how transistors behave in extreme cold",0033_news.fnal.gov_2026_05_using-ai-fermilab-researcher-prob.html,0033_news.fnal.gov_2026_05_using-ai-fermilab-researcher-prob.txt,94478,1898,2026-06-10 13:26:09,SUCCESS
34,https://news.fnal.gov/newsroom/news/,200,News and features,0034_news.fnal.gov_newsroom_news.html,0034_news.fnal.gov_newsroom_news.txt,100268,992,2026-06-10 13:26:11,SUCCESS
35,https://news.fnal.gov/2026/06/fermilab-and-harmoniqs-integrate-open-source-tools-to-advance-qubit-control-optimization/,200,Fermilab and Harmoniqs integrate open-source tools to advance qubit control optimization,0035_news.fnal.gov_2026_06_fermilab-and-harmoniqs-integrate-.html,0035_news.fnal.gov_2026_06_fermilab-and-harmoniqs-integrate-.txt,93790,1316,2026-06-10 13:26:12,SUCCESS
36,https://www.fnal.gov/pub/science/particle-physics-101/index.html,403,,,,0,0,2026-06-10 13:26:14,FAILED
37,https://www.fnal.gov/staff-directory,403,,,,0,0,2026-06-10 13:26:16,FAILED
38,https://news.fnal.gov/news,200,News and features,0038_news.fnal.gov_news.html,0038_news.fnal.gov_news.txt,100268,992,2026-06-10 13:26:17,SUCCESS
39,https://www.fnal.gov/,403,,,,0,0,2026-06-10 13:26:20,FAILED
40,https://news.fnal.gov/2026/05/mark-ross-lonergan-elected-co-spokesperson-for-microboone-collaboration/,200,Mark Ross‑Lonergan elected co-spokesperson for MicroBooNE collaboration,0040_news.fnal.gov_2026_05_mark-ross-lonergan-elected-co-spo.html,0040_news.fnal.gov_2026_05_mark-ross-lonergan-elected-co-spo.txt,89290,1256,2026-06-10 13:26:21,SUCCESS
41,https://news.fnal.gov/2026/03/fermilab-drives-progress-for-national-ai-genesis-mission/,200,Fermilab drives progress for national AI Genesis Mission,0041_news.fnal.gov_2026_03_fermilab-drives-progress-for-nati.html,0041_news.fnal.gov_2026_03_fermilab-drives-progress-for-nati.txt,96251,1494,2026-06-10 13:26:23,SUCCESS
42,https://news.fnal.gov/tag/qick/,200,QICK Archives - News,0042_news.fnal.gov_tag_qick.html,0042_news.fnal.gov_tag_qick.txt,89925,831,2026-06-10 13:26:25,SUCCESS
43,https://www.fnal.gov/pub/science/particle-accelerators/index.html,403,,,,0,0,2026-06-10 13:26:27,FAILED
44,https://news.fnal.gov/tag/partnership/,200,partnership Archives - News,0044_news.fnal.gov_tag_partnership.html,0044_news.fnal.gov_tag_partnership.txt,91786,836,2026-06-10 13:26:29,SUCCESS
45,https://news.fnal.gov/2026/04/fermilab-teams-up-with-niu-to-launch-quantum-science-program/,200,Fermilab teams up with NIU to launch quantum science program,0045_news.fnal.gov_2026_04_fermilab-teams-up-with-niu-to-lau.html,0045_news.fnal.gov_2026_04_fermilab-teams-up-with-niu-to-lau.txt,91166,1285,2026-06-10 13:26:31,SUCCESS
46,https://news.fnal.gov/newsroom/social-media/,200,Social media,0046_news.fnal.gov_newsroom_social-media.html,0046_news.fnal.gov_newsroom_social-media.txt,80885,587,2026-06-10 13:26:33,SUCCESS
47,https://news.fnal.gov/fact-sheets/,200,Fact sheets,0047_news.fnal.gov_fact-sheets.html,0047_news.fnal.gov_fact-sheets.txt,106848,602,2026-06-10 13:26:35,SUCCESS
48,https://news.fnal.gov/category/newsroom/fermilab-feature/,200,Fermilab features Archives - News,0048_news.fnal.gov_category_newsroom_fermilab-feature.html,0048_news.fnal.gov_category_newsroom_fermilab-feature.txt,96608,909,2026-06-10 13:26:37,SUCCESS
49,https://www.fnal.gov/faw/fermilab_at_work.html,403,,,,0,0,2026-06-10 13:26:39,FAILED
50,https://news.fnal.gov/newsroom/fact-sheets/,200,Fact sheets,0050_news.fnal.gov_newsroom_fact-sheets.html,0050_news.fnal.gov_newsroom_fact-sheets.txt,106848,602,2026-06-10 13:26:40,SUCCESS
51,https://www.fnal.gov/pub/science/particle-physics/index.html,403,,,,0,0,2026-06-10 13:26:43,FAILED
52,https://www.fnal.gov/pub/contact/index.html,403,,,,0,0,2026-06-10 13:26:44,FAILED
53,https://news.fnal.gov/tag/dark-matter/,200,dark matter Archives - News,0053_news.fnal.gov_tag_dark-matter.html,0053_news.fnal.gov_tag_dark-matter.txt,89581,793,2026-06-10 13:26:46,SUCCESS
54,https://www.fnal.gov/pub/newsroom/index.html,403,,,,0,0,2026-06-10 13:26:48,FAILED
55,https://education.fnal.gov/program/field-trip-essentials/,200,Field Trip Essentials – Fermilab Education and Public Engagement,0055_education.fnal.gov_program_field-trip-essentials.html,0055_education.fnal.gov_program_field-trip-essentials.txt,72346,704,2026-06-10 13:26:49,SUCCESS
56,https://education.fnal.gov/search,404,,,,0,0,2026-06-10 13:26:52,FAILED
57,https://news.fnal.gov/newsroom/public-events/,200,Calendar of public events | Public Events,0057_news.fnal.gov_newsroom_public-events.html,0057_news.fnal.gov_newsroom_public-events.txt,72352,224,2026-06-10 13:26:54,SUCCESS
58,https://education.fnal.gov/about/faq/,200,Frequently asked questions – Fermilab Education and Public Engagement,0058_education.fnal.gov_about_faq.html,0058_education.fnal.gov_about_faq.txt,71704,502,2026-06-10 13:26:57,SUCCESS
59,https://education.fnal.gov/ecology-and-the-environment/,200,Ecology and the environment – Fermilab Education and Public Engagement,0059_education.fnal.gov_ecology-and-the-environment.html,0059_education.fnal.gov_ecology-and-the-environment.txt,78304,562,2026-06-10 13:26:59,SUCCESS
60,https://education.fnal.gov/program/beauty-and-charm-at-fermilab/,200,Beauty and Charm – Introduction to Particle Physics teacher workshop – Fermilab Education and Public Engagement,0060_education.fnal.gov_program_beauty-and-charm-at-fermilab.html,0060_education.fnal.gov_program_beauty-and-charm-at-fermilab.txt,73033,680,2026-06-10 13:27:01,SUCCESS
61,https://education.fnal.gov/field-trips/,200,Field trips – Fermilab Education and Public Engagement,0061_education.fnal.gov_field-trips.html,0061_education.fnal.gov_field-trips.txt,84695,1077,2026-06-10 13:27:04,SUCCESS
62,https://education.fnal.gov/teacher-workshops/,200,Teacher workshops – Fermilab Education and Public Engagement,0062_education.fnal.gov_teacher-workshops.html,0062_education.fnal.gov_teacher-workshops.txt,81004,793,2026-06-10 13:27:06,SUCCESS
63,https://education.fnal.gov/program/energy-and-ecosystems/,200,"Energy and Ecosystems: Prairie, Water, and Woods teacher workshop – Fermilab Education and Public Engagement",0063_education.fnal.gov_program_energy-and-ecosystems.html,0063_education.fnal.gov_program_energy-and-ecosystems.txt,72779,625,2026-06-10 13:27:08,SUCCESS
64,https://education.fnal.gov/program/saturdaymorningphysics/,200,Saturday Morning Physics – Fermilab Education and Public Engagement,0064_education.fnal.gov_program_saturdaymorningphysics.html,0064_education.fnal.gov_program_saturdaymorningphysics.txt,78615,930,2026-06-10 13:27:10,SUCCESS
65,https://education.fnal.gov/neutrinos/,200,Neutrinos – Fermilab Education and Public Engagement,0065_education.fnal.gov_neutrinos.html,0065_education.fnal.gov_neutrinos.txt,85914,636,2026-06-10 13:27:12,SUCCESS
66,https://www.fnal.gov/pub/visiting/index.html,403,,,,0,0,2026-06-10 13:27:14,FAILED
67,https://education.fnal.gov/program/fermilab-center-quarknet-workshop/,200,Fermilab Center QuarkNet workshop – Fermilab Education and Public Engagement,0067_education.fnal.gov_program_fermilab-center-quarknet-wor.html,0067_education.fnal.gov_program_fermilab-center-quarknet-wor.txt,72258,742,2026-06-10 13:27:16,SUCCESS
68,https://education.fnal.gov/muons-and-other-fundamental-particles/,200,Muons and other fundamental particles – Fermilab Education and Public Engagement,0068_education.fnal.gov_muons-and-other-fundamental-particle.html,0068_education.fnal.gov_muons-and-other-fundamental-particle.txt,85101,840,2026-06-10 13:27:18,SUCCESS
69,https://education.fnal.gov/about/directions-to-lederman-science-center/,200,Plan your visit – Fermilab Education and Public Engagement,0069_education.fnal.gov_about_directions-to-lederman-science.html,0069_education.fnal.gov_about_directions-to-lederman-science.txt,69482,572,2026-06-10 13:27:20,SUCCESS
70,https://education.fnal.gov/explore/quantum-science/,200,Quantum science – Fermilab Education and Public Engagement,0070_education.fnal.gov_explore_quantum-science.html,0070_education.fnal.gov_explore_quantum-science.txt,81954,656,2026-06-10 13:27:22,SUCCESS
71,https://education.fnal.gov/about/for-employees/,200,For Fermilab employees – Fermilab Education and Public Engagement,0071_education.fnal.gov_about_for-employees.html,0071_education.fnal.gov_about_for-employees.txt,81211,567,2026-06-10 13:27:25,SUCCESS
72,https://education.fnal.gov/program/saturday-morning-quantum-in-chicago/,200,Saturday Morning Quantum* – Fermilab Education and Public Engagement,0072_education.fnal.gov_program_saturday-morning-quantum-in-.html,0072_education.fnal.gov_program_saturday-morning-quantum-in-.txt,87788,695,2026-06-10 13:27:27,SUCCESS
73,https://education.fnal.gov/quarknet/,200,QuarkNet – Fermilab Education and Public Engagement,0073_education.fnal.gov_quarknet.html,0073_education.fnal.gov_quarknet.txt,69938,629,2026-06-10 13:27:30,SUCCESS
74,https://education.fnal.gov/makerspace/,200,MakerSpace – Fermilab Education and Public Engagement,0074_education.fnal.gov_makerspace.html,0074_education.fnal.gov_makerspace.txt,74224,553,2026-06-10 13:27:32,SUCCESS
75,https://education.fnal.gov/cosmology/,200,Cosmology – Fermilab Education and Public Engagement,0075_education.fnal.gov_cosmology.html,0075_education.fnal.gov_cosmology.txt,81803,735,2026-06-10 13:27:34,SUCCESS
76,https://education.fnal.gov/scoring-particles-and-expanding-outreach/,200,Scoring Particles and Expanding Outreach – Fermilab Education and Public Engagement,0076_education.fnal.gov_scoring-particles-and-expanding-outr.html,0076_education.fnal.gov_scoring-particles-and-expanding-outr.txt,71834,607,2026-06-10 13:27:36,SUCCESS
77,https://news.fnal.gov/newsroom/press-release-sign-up/,200,Press release sign-up,0077_news.fnal.gov_newsroom_press-release-sign-up.html,0077_news.fnal.gov_newsroom_press-release-sign-up.txt,69404,285,2026-06-10 13:27:38,SUCCESS
78,https://education.fnal.gov/program/makerspace-open-lab/,200,MakerSpace Open Lab – Fermilab Education and Public Engagement,0078_education.fnal.gov_program_makerspace-open-lab.html,0078_education.fnal.gov_program_makerspace-open-lab.txt,90799,717,2026-06-10 13:27:40,SUCCESS
79,https://news.fnal.gov/newsroom/fact-sheets-and-brochures/,200,Fact sheets,0079_news.fnal.gov_newsroom_fact-sheets-and-brochures.html,0079_news.fnal.gov_newsroom_fact-sheets-and-brochures.txt,106848,602,2026-06-10 13:27:43,SUCCESS
80,https://education.fnal.gov/about/fermilab@fnal.gov,404,,,,0,0,2026-06-10 13:27:46,FAILED
81,https://education.fnal.gov/about/search,404,,,,0,0,2026-06-10 13:27:48,FAILED
82,https://www.fnal.gov/pub/about/,403,,,,0,0,2026-06-10 13:27:50,FAILED
83,https://education.fnal.gov/wp-content/uploads/2024/12/Fermilab-EPE-Strategic-Plan.pdf,200,(no title),0083_education.fnal.gov_wp-content_uploads_2024_12_Fermilab-.html,0083_education.fnal.gov_wp-content_uploads_2024_12_Fermilab-.txt,844056,15091,2026-06-10 13:27:52,SUCCESS
84,https://education.fnal.gov/program/stem-outreach/search,404,,,,0,0,2026-06-10 13:27:54,FAILED
85,https://education.fnal.gov/program/,200,Programs – Fermilab Education and Public Engagement,0085_education.fnal.gov_program.html,0085_education.fnal.gov_program.txt,74425,563,2026-06-10 13:27:56,SUCCESS
86,https://news.fnal.gov/tag/ai/page/3/,200,AI Archives - Page 3 of 3 - News,0086_news.fnal.gov_tag_ai_page_3.html,0086_news.fnal.gov_tag_ai_page_3.txt,78090,582,2026-06-10 13:27:58,SUCCESS
87,https://news.fnal.gov/tag/genesis-mission/,200,Genesis Mission Archives - News,0087_news.fnal.gov_tag_genesis-mission.html,0087_news.fnal.gov_tag_genesis-mission.txt,72097,398,2026-06-10 13:28:00,SUCCESS
88,https://news.fnal.gov/2025/12/fermilabs-accomplishments-highlight-discovery-and-innovation-in-2025/,200,Fermilab’s accomplishments highlight discovery and innovation in 2025,0088_news.fnal.gov_2025_12_fermilabs-accomplishments-highlig.html,0088_news.fnal.gov_2025_12_fermilabs-accomplishments-highlig.txt,117296,3013,2026-06-10 13:28:02,SUCCESS
89,https://news.fnal.gov/tag/ai/page/2/,200,AI Archives - Page 2 of 3 - News,0089_news.fnal.gov_tag_ai_page_2.html,0089_news.fnal.gov_tag_ai_page_2.txt,88076,806,2026-06-10 13:28:04,SUCCESS
90,https://news.fnal.gov/tag/ml/,200,ML Archives - News,0090_news.fnal.gov_tag_ml.html,0090_news.fnal.gov_tag_ml.txt,70285,440,2026-06-10 13:28:06,SUCCESS
91,https://news.fnal.gov/2026/04/fermilabs-new-director-clarifies-mission-and-achieves-progress-in-first-100-days/,200,Fermilab’s new director clarifies mission and achieves progress in first 100 days,0091_news.fnal.gov_2026_04_fermilabs-new-director-clarifies-.html,0091_news.fnal.gov_2026_04_fermilabs-new-director-clarifies-.txt,108712,2757,2026-06-10 13:28:08,SUCCESS
92,https://news.fnal.gov/tag/magis-100/,200,MAGIS-100 Archives - News,0092_news.fnal.gov_tag_magis-100.html,0092_news.fnal.gov_tag_magis-100.txt,91105,954,2026-06-10 13:28:10,SUCCESS
93,https://news.fnal.gov/tag/lbnf/,200,LBNF Archives - News,0093_news.fnal.gov_tag_lbnf.html,0093_news.fnal.gov_tag_lbnf.txt,93919,926,2026-06-10 13:28:12,SUCCESS
94,https://news.fnal.gov/2026/04/fermilab-researchers-develop-ai-tools-to-advance-the-future-of-particle-accelerators/,200,Fermilab researchers develop AI tools to advance the future of particle accelerators,0094_news.fnal.gov_2026_04_fermilab-researchers-develop-ai-t.html,0094_news.fnal.gov_2026_04_fermilab-researchers-develop-ai-t.txt,92659,1424,2026-06-10 13:28:14,SUCCESS
95,https://news.fnal.gov/tag/particle-detector-technology/,200,particle detector technology Archives - News,0095_news.fnal.gov_tag_particle-detector-technology.html,0095_news.fnal.gov_tag_particle-detector-technology.txt,93205,899,2026-06-10 13:28:16,SUCCESS
96,https://news.fnal.gov/tag/particle-accelerator/,200,particle accelerator Archives - News,0096_news.fnal.gov_tag_particle-accelerator.html,0096_news.fnal.gov_tag_particle-accelerator.txt,89664,823,2026-06-10 13:28:18,SUCCESS
97,https://news.fnal.gov/tag/pip-ii/,200,PIP-II Archives - News,0097_news.fnal.gov_tag_pip-ii.html,0097_news.fnal.gov_tag_pip-ii.txt,90264,841,2026-06-10 13:28:20,SUCCESS
98,https://news.fnal.gov/tag/genesis-misson/,200,Genesis Misson Archives - News,0098_news.fnal.gov_tag_genesis-misson.html,0098_news.fnal.gov_tag_genesis-misson.txt,70004,348,2026-06-10 13:28:22,SUCCESS
99,https://news.fnal.gov/2026/04/early-career-award-recipient-aleksandra-ciprijanovic-aims-to-create-universal-ai-analysis-framework/,200,Early Career Award recipient Aleksandra Ćiprijanović aims to create universal AI analysis framework,0099_news.fnal.gov_2026_04_early-career-award-recipient-alek.html,0099_news.fnal.gov_2026_04_early-career-award-recipient-alek.txt,88361,1047,2026-06-10 13:28:24,SUCCESS
100,https://news.fnal.gov/tag/collaboration/,200,collaboration Archives - News,0100_news.fnal.gov_tag_collaboration.html,0100_news.fnal.gov_tag_collaboration.txt,84810,794,2026-06-10 13:28:26,SUCCESS
101,https://news.fnal.gov/tag/microelectronics/,200,microelectronics Archives - News,0101_news.fnal.gov_tag_microelectronics.html,0101_news.fnal.gov_tag_microelectronics.txt,95904,861,2026-06-10 13:28:28,SUCCESS
102,https://news.fnal.gov/tag/artificial-intelligence/,200,artificial intelligence Archives - News,0102_news.fnal.gov_tag_artificial-intelligence.html,0102_news.fnal.gov_tag_artificial-intelligence.txt,90591,923,2026-06-10 13:28:31,SUCCESS
103,https://news.fnal.gov/tag/mu2e/,200,Mu2e Archives - News,0103_news.fnal.gov_tag_mu2e.html,0103_news.fnal.gov_tag_mu2e.txt,91084,867,2026-06-10 13:28:33,SUCCESS
104,https://news.fnal.gov/tag/dark-energy/,200,dark energy Archives - News,0104_news.fnal.gov_tag_dark-energy.html,0104_news.fnal.gov_tag_dark-energy.txt,89156,948,2026-06-10 13:28:35,SUCCESS
105,https://news.fnal.gov/tag/nova/,200,NOvA Archives - News,0105_news.fnal.gov_tag_nova.html,0105_news.fnal.gov_tag_nova.txt,85844,870,2026-06-10 13:28:37,SUCCESS
106,https://news.fnal.gov/tag/computing/,200,computing Archives - News,0106_news.fnal.gov_tag_computing.html,0106_news.fnal.gov_tag_computing.txt,93774,958,2026-06-10 13:28:39,SUCCESS
107,https://news.fnal.gov/tag/cryogenics/,200,cryogenics Archives - News,0107_news.fnal.gov_tag_cryogenics.html,0107_news.fnal.gov_tag_cryogenics.txt,93314,822,2026-06-10 13:28:41,SUCCESS
108,https://news.fnal.gov/tag/emerging-technologies/,200,emerging technologies Archives - News,0108_news.fnal.gov_tag_emerging-technologies.html,0108_news.fnal.gov_tag_emerging-technologies.txt,89119,881,2026-06-10 13:28:43,SUCCESS
109,https://news.fnal.gov/tag/astrophysics/,200,astrophysics Archives - News,0109_news.fnal.gov_tag_astrophysics.html,0109_news.fnal.gov_tag_astrophysics.txt,97006,770,2026-06-10 13:28:45,SUCCESS
110,https://news.fnal.gov/tag/award/,200,award Archives - News,0110_news.fnal.gov_tag_award.html,0110_news.fnal.gov_tag_award.txt,88034,877,2026-06-10 13:28:47,SUCCESS
111,https://news.fnal.gov/2026/03/fermilabs-fast-iota-facility-achieves-major-milestone-in-accelerator-research/,200,Fermilab’s FAST/IOTA facility achieves major milestone in accelerator research,0111_news.fnal.gov_2026_03_fermilabs-fast-iota-facility-achi.html,0111_news.fnal.gov_2026_03_fermilabs-fast-iota-facility-achi.txt,95768,1536,2026-06-10 13:28:50,SUCCESS
112,https://news.fnal.gov/tag/microboone/,200,MicroBooNE Archives - News,0112_news.fnal.gov_tag_microboone.html,0112_news.fnal.gov_tag_microboone.txt,90622,761,2026-06-10 13:28:52,SUCCESS
113,https://news.fnal.gov/tag/magnes/,200,Magnes Archives - News,0113_news.fnal.gov_tag_magnes.html,0113_news.fnal.gov_tag_magnes.txt,70647,340,2026-06-10 13:28:54,SUCCESS
114,https://news.fnal.gov/2026/01/fermilab-researchers-supercharge-neural-networks-boosting-potential-of-ai-to-revolutionize-particle-physics/,200,"Fermilab researchers supercharge neural networks, boosting potential of AI to revolutionize particle physics",0114_news.fnal.gov_2026_01_fermilab-researchers-supercharge-.html,0114_news.fnal.gov_2026_01_fermilab-researchers-supercharge-.txt,91088,1332,2026-06-10 13:28:56,SUCCESS
115,https://news.fnal.gov/tag/lbnf-dune/,200,LBNF/DUNE Archives - News,0115_news.fnal.gov_tag_lbnf-dune.html,0115_news.fnal.gov_tag_lbnf-dune.txt,85244,839,2026-06-10 13:28:58,SUCCESS
116,https://news.fnal.gov/tag/u-s-cms/,200,U.S. CMS Archives - News,0116_news.fnal.gov_tag_u-s-cms.html,0116_news.fnal.gov_tag_u-s-cms.txt,77385,450,2026-06-10 13:29:00,SUCCESS
117,https://news.fnal.gov/tag/theory/,200,theory Archives - News,0117_news.fnal.gov_tag_theory.html,0117_news.fnal.gov_tag_theory.txt,85093,849,2026-06-10 13:29:02,SUCCESS
118,https://news.fnal.gov/tag/machine-learning/,200,machine learning Archives - News,0118_news.fnal.gov_tag_machine-learning.html,0118_news.fnal.gov_tag_machine-learning.txt,93663,906,2026-06-10 13:29:04,SUCCESS
119,https://news.fnal.gov/tag/sqms/,200,SQMS Archives - News,0119_news.fnal.gov_tag_sqms.html,0119_news.fnal.gov_tag_sqms.txt,93247,872,2026-06-10 13:29:06,SUCCESS
120,https://news.fnal.gov/tag/ai/search,200,Search for hidden chambers using cosmic-ray muons – Public lecture by Mark Adams,0120_news.fnal.gov_tag_ai_search.html,0120_news.fnal.gov_tag_ai_search.txt,69441,324,2026-06-10 13:29:08,SUCCESS
121,https://news.fnal.gov/tag/muon-g-2/,200,Muon g-2 Archives - News,0121_news.fnal.gov_tag_muon-g-2.html,0121_news.fnal.gov_tag_muon-g-2.txt,88359,810,2026-06-10 13:29:10,SUCCESS
122,https://news.fnal.gov/tag/neutrino/,200,neutrino Archives - News,0122_news.fnal.gov_tag_neutrino.html,0122_news.fnal.gov_tag_neutrino.txt,97593,858,2026-06-10 13:29:13,SUCCESS
123,https://news.fnal.gov/tag/particle-physics/,200,particle physics Archives - News,0123_news.fnal.gov_tag_particle-physics.html,0123_news.fnal.gov_tag_particle-physics.txt,97584,855,2026-06-10 13:29:15,SUCCESS
